n_id	direct_cps	tracks	reachability
N1	cp-1	-	direct
N2	cp-2	-	direct
N3	cp-3	-	direct
N4	cp-5	-	direct
N5	cp-2;cp-7	-	direct
N6	cp-12	-	direct
N7	cp-4	-	direct
N8	cp-36	-	direct
N9	cp-32	-	direct
N10	cp-5	-	direct
N11	cp-6	-	direct
N12	cp-37	-	direct
N13	cp-8	-	direct
N14	cp-10;cp-32	-	direct
N15	cp-9	-	direct
N16	cp-11;cp-12	-	direct
N17	cp-35	-	direct
N18	cp-35	-	direct
N19	cp-13;cp-20	-	direct
N20	cp-13	-	direct
N21	cp-13	-	direct
N22	cp-14	-	direct
N23	cp-15	-	direct
N24	cp-16	-	direct
N25	cp-17	-	direct
N26	cp-18	-	direct
N27	cp-19	-	direct
N27a	cp-19	-	direct
N28	cp-21	-	direct
N29	cp-22	-	direct
N30	cp-23	-	direct
N31	cp-24	-	direct
N32	cp-25	-	direct
N33	cp-26	-	direct
N34	cp-27	-	direct
N35	cp-28	-	direct
N36	cp-29	-	direct
N37	cp-30	-	direct
N38	cp-31	-	direct
N39	cp-32	-	direct
N40	cp-31	-	direct
N41	cp-33	-	direct
N42	cp-33	-	direct
N42a	cp-33a	-	direct
N43	cp-34	-	direct
